"","model","mirt_dim","parameter","missing","bias_sq","var","mse","iw"
"111","cvae",10,"theta",0.16666667,0.365872112091229,0.0365102382108705,0.4023823503021,5
"112","cvae",10,"a",0.16666667,0.0190708660766751,0.000613557935151809,0.0196844240118269,25
"113","cvae",10,"d",0.16666667,0.201562521096227,5.75923127776158e-05,0.201620113409005,25
"114","cvae",10,"theta",0.16666667,0.34916829600652,0.0128144272923616,0.361982723298882,25
"115","cvae",3,"a",0.25,0.285292138962344,0.0139914156215793,0.299283554583923,1
"116","cvae",3,"d",0.25,0.0798173419925162,0.000468719347420698,0.0802860613399368,1
"117","cvae",3,"theta",0.25,0.627751005174343,0.043198534556276,0.670949539730619,1
"118","cvae",3,"a",0.25,0.110844211925518,0.00148829813257495,0.112332510058093,5
"119","cvae",3,"d",0.25,0.0563870908396946,8.45266483555941e-05,0.0564716174880502,5
"120","cvae",3,"theta",0.25,0.504849296427436,0.0162899946893542,0.52113929111679,5
"121","cvae",3,"a",0.25,0.0379931815697379,0.00212180680501714,0.040114988374755,25
"122","cvae",3,"d",0.25,0.0453815563639765,0.000160529884310207,0.0455420862482867,25
"123","cvae",3,"theta",0.25,0.409841155208663,0.0144287403189554,0.424269895527619,25
"124","cvae",10,"a",0.25,0.100588036319002,0.0142542611869074,0.11484229750591,1
"125","cvae",10,"d",0.25,0.134192146490079,0.000348713316450384,0.134540859806529,1
"126","cvae",10,"theta",0.25,0.47458294162479,0.116597361298144,0.591180302922934,1
"127","cvae",10,"a",0.25,0.0374175899010251,0.00434055667818659,0.0417581465792117,5
"128","cvae",10,"d",0.25,0.169103808377975,0.0003773836472646,0.16948119202524,5
"129","cvae",10,"theta",0.25,0.392470791532681,0.0349086125277761,0.427379404060457,5
"130","cvae",10,"a",0.25,0.0212961093194621,0.000881142987064116,0.0221772523065262,25
"131","cvae",10,"d",0.25,0.185990974518759,7.47996992447894e-05,0.186065774218004,25
"132","cvae",10,"theta",0.25,0.370024376518547,0.0137860999795929,0.38381047649814,25
"133","cvae",3,"a",0.33333333,0.361159600412204,0.0173161224347408,0.378475722846944,1
"134","cvae",3,"d",0.33333333,0.0895879348973164,0.000448214398009594,0.090036149295326,1
"135","cvae",3,"theta",0.33333333,0.700709507582888,0.0542694842213972,0.754978991804285,1
"136","cvae",3,"a",0.33333333,0.127231933086094,0.00387132061471192,0.131103253700806,5
"137","cvae",3,"d",0.33333333,0.0615727389250815,0.000145710586960115,0.0617184495120416,5
"138","cvae",3,"theta",0.33333333,0.544212913356165,0.0189225569864484,0.563135470342614,5
"139","cvae",3,"a",0.33333333,0.046129601268717,0.00135181235714137,0.0474814136258583,25
"140","cvae",3,"d",0.33333333,0.0503638965072435,8.85616228545305e-05,0.050452458130098,25
"141","cvae",3,"theta",0.33333333,0.439406929937545,0.013821781017214,0.453228710954759,25
"142","cvae",10,"a",0.33333333,0.14410509593725,0.0144152258176539,0.158520321754903,1
"143","cvae",10,"d",0.33333333,0.13841882127042,0.000308185212649635,0.13872700648307,1
"144","cvae",10,"theta",0.33333333,0.544263474748541,0.132650630183026,0.676914104931566,1
"145","cvae",10,"a",0.33333333,0.0426585092521362,0.00581475283965207,0.0484732620917883,5
"146","cvae",10,"d",0.33333333,0.157379756557821,0.000420845254247382,0.157800601812069,5
"147","cvae",10,"theta",0.33333333,0.414538316271265,0.0406257057700624,0.455164022041327,5
"148","cvae",10,"a",0.33333333,0.0230161141451054,0.00111996427743154,0.0241360784225369,25
"149","cvae",10,"d",0.33333333,0.176648167720548,0.000101887461139071,0.176750055181687,25
"150","cvae",10,"theta",0.33333333,0.390244904724735,0.0155163462978065,0.405761251022542,25
"151","cvae",3,"a",0.41666667,0.48370022698675,0.0138957557847105,0.497595982771461,1
"152","cvae",3,"d",0.41666667,0.0978424060936393,0.00017568700139174,0.098018093095031,1
"153","cvae",3,"theta",0.41666667,0.802177215243808,0.0518685743335491,0.854045789577357,1
"154","cvae",3,"a",0.41666667,0.147795574882233,0.00481571661741406,0.152611291499647,5
"155","cvae",3,"d",0.41666667,0.0651767621131181,0.000143447990985396,0.0653202101041035,5
"156","cvae",3,"theta",0.41666667,0.579604376056984,0.0211586121305856,0.60076298818757,5
"157","cvae",3,"a",0.41666667,0.0772260266794848,0.00149855904006678,0.0787245857195516,25
"158","cvae",3,"d",0.41666667,0.0556825319465647,4.65349733259464e-05,0.0557290669198906,25
"159","cvae",3,"theta",0.41666667,0.505660087722277,0.0157665963066126,0.52142668402889,25
"160","cvae",10,"a",0.41666667,0.216133759270066,0.00999568304700557,0.226129442317071,1
"161","cvae",10,"d",0.41666667,0.146933617983839,0.000202605663401142,0.14713622364724,1
"162","cvae",10,"theta",0.41666667,0.685998771236881,0.114608850239795,0.800607621476676,1
"163","cvae",10,"a",0.41666667,0.0511379209230599,0.00700814429550126,0.0581460652185611,5
"164","cvae",10,"d",0.41666667,0.146910322475284,0.000288161905589986,0.147198484380874,5
"165","cvae",10,"theta",0.41666667,0.446577682192244,0.0452179105045193,0.491795592696763,5
"166","cvae",10,"a",0.41666667,0.0266688913570083,0.0021525220189542,0.0288214133759625,25
"167","cvae",10,"d",0.41666667,0.164096619212962,0.000173017309578099,0.16426963652254,25
"168","cvae",10,"theta",0.41666667,0.416873226016553,0.0194906480754042,0.436363874091958,25
"169","cvae",3,"a",0.5,0.581392607927544,0.00399293243758696,0.585385540365131,1
"170","cvae",3,"d",0.5,0.10845297911815,9.0617177991529e-06,0.108462040835949,1
"171","cvae",3,"theta",0.5,0.915633931968051,0.0217118749947178,0.937345806962769,1
"172","cvae",3,"a",0.5,0.174673974322093,0.00755422335682672,0.18222819767892,5
"173","cvae",3,"d",0.5,0.0793797063810352,0.000227645893332598,0.0796073522743678,5
"174","cvae",3,"theta",0.5,0.61528642069656,0.0250363184942403,0.6403227391908,5
"175","cvae",3,"a",0.5,0.0899696669331908,0.00127183769110646,0.0912415046242973,25
"176","cvae",3,"d",0.5,0.0653103550949619,3.82942677421032e-05,0.065348649362704,25
"177","cvae",3,"theta",0.5,0.555287455147889,0.0157130576738459,0.571000512821735,25
"178","cvae",10,"a",0.5,0.29044210438527,0.00194459757752849,0.292386701962798,1
"179","cvae",10,"d",0.5,0.154292050859682,2.62143396856556e-05,0.154318265199367,1
"180","cvae",10,"theta",0.5,0.920558129420357,0.0289043650497786,0.949462494470135,1
"181","cvae",10,"a",0.5,0.066474727255505,0.00805657402777188,0.0745313012832769,5
"182","cvae",10,"d",0.5,0.13949887757591,0.000215714287659451,0.13971459186357,5
"183","cvae",10,"theta",0.5,0.491318336922367,0.0506382538138971,0.541956590736264,5
"184","cvae",10,"a",0.5,0.0324158432860856,0.00261613375804755,0.0350319770441331,25
"185","cvae",10,"d",0.5,0.153855393541575,0.000147532303573728,0.154002925845149,25
"186","cvae",10,"theta",0.5,0.451056767453153,0.0215671896386448,0.472623957091798,25
"187","cvae",3,"a",0.58333333,0.623954308397482,0.000917760624069207,0.624872069021551,1
